Listing_Title,Make/Brand,Model,Variant,Price_Raw,Price,Kilometer,Fuel_Type,Transmission,Overview_Owner,Reg_Year,Age,Registration_Number,City,Status,Detail_URL,Source
Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar,Lx Hard Top Diesel At 4Wd,1390000,"₹ 1,390,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458938,Vikas Motorland
Mercedes Benz M Class ML 350 CDI 4MATIC,Mercedes Benz,M,Class Ml 350 Cdi 4Matic,1450000,"₹ 1,450,000",0,Diesel,Unknown,Unknown,2014,12,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4358938,Vikas Motorland
Jeep Meridian Limited (O) 4X4 AT,Jeep,Meridian,Limited (O) 4X4 At,2350000,"₹ 2,350,000",0,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4366261,Vikas Motorland
Honda City 1.5 V AT,Honda,City,1.5 V At,350000,"₹ 350,000",0,Petrol,Unknown,Unknown,2011,15,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382323,Vikas Motorland
Volvo S60 Summum D4,Volvo,S60,Summum D4,1850000,"₹ 1,850,000",0,Diesel,Unknown,Unknown,2017,9,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382367,Vikas Motorland
Kia Carens Prestige Plus (O) 1.5 Diesel AT 7 STR,Kia,Carens,Prestige Plus (O) 1.5 Diesel At 7 Str,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4413739,Vikas Motorland
Mercedes Benz E Class E 350d AMG Line,Mercedes Benz,E,Class E 350D Amg Line,5450000,"₹ 5,450,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4390024,Vikas Motorland
Mercedes Benz AMG GLA35 4MATIC,Mercedes Benz,Amg,Gla35 4Matic,3950000,"₹ 3,950,000",0,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454379,Vikas Motorland
Jeep Compass Limited (O) 1.4 Petrol AT,Jeep,Compass,Limited (O) 1.4 Petrol At,990000,"₹ 990,000",0,Petrol,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458720,Vikas Motorland
Jeep Compass Model S (O) 1.4 Petrol DCT,Jeep,Compass,Model S (O) 1.4 Petrol Dct,1350000,"₹ 1,350,000",0,Petrol,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458686,Vikas Motorland
Skoda Kodiaq Style 2.0 TDI 4x4 AT,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458665,Vikas Motorland
Hyundai Venue SX Plus 1.0 Turbo DCT,Hyundai,Venue,Sx Plus 1.0 Turbo Dct,790000,"₹ 790,000",0,Petrol,Unknown,Unknown,2019,7,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458181,Vikas Motorland
Skoda Kushaq Style 1.5L TSI DSG,Skoda,Kushaq,Style 1.5L Tsi Dsg,1190000,"₹ 1,190,000",0,Petrol,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438247,Vikas Motorland
Hyundai Grand i10 NIOS Asta 1.2 Kappa,Hyundai,Grand,I10 Nios Asta 1.2 Kappa,750000,"₹ 750,000",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454373,Vikas Motorland
Hyundai Alcazar Signature 1.5 Petrol DCT 6STR,Hyundai,Alcazar,Signature 1.5 Petrol Dct 6Str,1889999,"₹ 1,889,999",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454370,Vikas Motorland
Ford Endeavour Titanium Plus 2.0 4x4 AT,Ford,Endeavour,Titanium Plus 2.0 4X4 At,2850000,"₹ 2,850,000",0,Diesel,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4419638,Vikas Motorland
Hyundai Tucson Signature 2.0 AT Diesel,Hyundai,Tucson,Signature 2.0 At Diesel,2950000,"₹ 2,950,000",663,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4432532,Vikas Motorland
Maruti Suzuki Brezza Vxi AT,Maruti Suzuki,Brezza,Vxi At,975000,"₹ 975,000",39,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438575,Vikas Motorland
Honda All New City V Petrol,Honda,All,New City V Petrol,1050000,"₹ 1,050,000",12,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4431888,Vikas Motorland
Honda Amaze VX 1.2 Petrol MT,Honda,Amaze,Vx 1.2 Petrol Mt,850000,"₹ 850,000",51,Petrol,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4436821,Vikas Motorland
Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar,Lx Hard Top Diesel At 4Wd,1390000,"₹ 1,390,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458938,Vikas Motorland
Mercedes Benz M Class ML 350 CDI 4MATIC,Mercedes Benz,M,Class Ml 350 Cdi 4Matic,1450000,"₹ 1,450,000",0,Diesel,Unknown,Unknown,2014,12,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4358938,Vikas Motorland
Jeep Meridian Limited (O) 4X4 AT,Jeep,Meridian,Limited (O) 4X4 At,2350000,"₹ 2,350,000",0,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4366261,Vikas Motorland
Honda City 1.5 V AT,Honda,City,1.5 V At,350000,"₹ 350,000",0,Petrol,Unknown,Unknown,2011,15,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382323,Vikas Motorland
Volvo S60 Summum D4,Volvo,S60,Summum D4,1850000,"₹ 1,850,000",0,Diesel,Unknown,Unknown,2017,9,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382367,Vikas Motorland
Kia Carens Prestige Plus (O) 1.5 Diesel AT 7 STR,Kia,Carens,Prestige Plus (O) 1.5 Diesel At 7 Str,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4413739,Vikas Motorland
Mercedes Benz E Class E 350d AMG Line,Mercedes Benz,E,Class E 350D Amg Line,5450000,"₹ 5,450,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4390024,Vikas Motorland
Mercedes Benz AMG GLA35 4MATIC,Mercedes Benz,Amg,Gla35 4Matic,3950000,"₹ 3,950,000",0,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454379,Vikas Motorland
Jeep Compass Limited (O) 1.4 Petrol AT,Jeep,Compass,Limited (O) 1.4 Petrol At,990000,"₹ 990,000",0,Petrol,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458720,Vikas Motorland
Jeep Compass Model S (O) 1.4 Petrol DCT,Jeep,Compass,Model S (O) 1.4 Petrol Dct,1350000,"₹ 1,350,000",0,Petrol,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458686,Vikas Motorland
Skoda Kodiaq Style 2.0 TDI 4x4 AT,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458665,Vikas Motorland
Hyundai Venue SX Plus 1.0 Turbo DCT,Hyundai,Venue,Sx Plus 1.0 Turbo Dct,790000,"₹ 790,000",0,Petrol,Unknown,Unknown,2019,7,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458181,Vikas Motorland
Skoda Kushaq Style 1.5L TSI DSG,Skoda,Kushaq,Style 1.5L Tsi Dsg,1190000,"₹ 1,190,000",0,Petrol,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438247,Vikas Motorland
Hyundai Grand i10 NIOS Asta 1.2 Kappa,Hyundai,Grand,I10 Nios Asta 1.2 Kappa,750000,"₹ 750,000",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454373,Vikas Motorland
Hyundai Alcazar Signature 1.5 Petrol DCT 6STR,Hyundai,Alcazar,Signature 1.5 Petrol Dct 6Str,1889999,"₹ 1,889,999",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454370,Vikas Motorland
Ford Endeavour Titanium Plus 2.0 4x4 AT,Ford,Endeavour,Titanium Plus 2.0 4X4 At,2850000,"₹ 2,850,000",0,Diesel,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4419638,Vikas Motorland
Hyundai Tucson Signature 2.0 AT Diesel,Hyundai,Tucson,Signature 2.0 At Diesel,2950000,"₹ 2,950,000",663,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4432532,Vikas Motorland
Maruti Suzuki Brezza Vxi AT,Maruti Suzuki,Brezza,Vxi At,975000,"₹ 975,000",39,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438575,Vikas Motorland
Honda All New City V Petrol,Honda,All,New City V Petrol,1050000,"₹ 1,050,000",12,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4431888,Vikas Motorland
Honda Amaze VX 1.2 Petrol MT,Honda,Amaze,Vx 1.2 Petrol Mt,850000,"₹ 850,000",51,Petrol,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4436821,Vikas Motorland
Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar,Lx Hard Top Diesel At 4Wd,1390000,"₹ 1,390,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458938,Vikas Motorland
Mercedes Benz M Class ML 350 CDI 4MATIC,Mercedes Benz,M,Class Ml 350 Cdi 4Matic,1450000,"₹ 1,450,000",0,Diesel,Unknown,Unknown,2014,12,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4358938,Vikas Motorland
Jeep Meridian Limited (O) 4X4 AT,Jeep,Meridian,Limited (O) 4X4 At,2350000,"₹ 2,350,000",0,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4366261,Vikas Motorland
Honda City 1.5 V AT,Honda,City,1.5 V At,350000,"₹ 350,000",0,Petrol,Unknown,Unknown,2011,15,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382323,Vikas Motorland
Volvo S60 Summum D4,Volvo,S60,Summum D4,1850000,"₹ 1,850,000",0,Diesel,Unknown,Unknown,2017,9,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382367,Vikas Motorland
Kia Carens Prestige Plus (O) 1.5 Diesel AT 7 STR,Kia,Carens,Prestige Plus (O) 1.5 Diesel At 7 Str,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4413739,Vikas Motorland
Mercedes Benz E Class E 350d AMG Line,Mercedes Benz,E,Class E 350D Amg Line,5450000,"₹ 5,450,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4390024,Vikas Motorland
Mercedes Benz AMG GLA35 4MATIC,Mercedes Benz,Amg,Gla35 4Matic,3950000,"₹ 3,950,000",0,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454379,Vikas Motorland
Jeep Compass Limited (O) 1.4 Petrol AT,Jeep,Compass,Limited (O) 1.4 Petrol At,990000,"₹ 990,000",0,Petrol,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458720,Vikas Motorland
Jeep Compass Model S (O) 1.4 Petrol DCT,Jeep,Compass,Model S (O) 1.4 Petrol Dct,1350000,"₹ 1,350,000",0,Petrol,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458686,Vikas Motorland
Skoda Kodiaq Style 2.0 TDI 4x4 AT,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458665,Vikas Motorland
Hyundai Venue SX Plus 1.0 Turbo DCT,Hyundai,Venue,Sx Plus 1.0 Turbo Dct,790000,"₹ 790,000",0,Petrol,Unknown,Unknown,2019,7,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458181,Vikas Motorland
Skoda Kushaq Style 1.5L TSI DSG,Skoda,Kushaq,Style 1.5L Tsi Dsg,1190000,"₹ 1,190,000",0,Petrol,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438247,Vikas Motorland
Hyundai Grand i10 NIOS Asta 1.2 Kappa,Hyundai,Grand,I10 Nios Asta 1.2 Kappa,750000,"₹ 750,000",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454373,Vikas Motorland
Hyundai Alcazar Signature 1.5 Petrol DCT 6STR,Hyundai,Alcazar,Signature 1.5 Petrol Dct 6Str,1889999,"₹ 1,889,999",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454370,Vikas Motorland
Ford Endeavour Titanium Plus 2.0 4x4 AT,Ford,Endeavour,Titanium Plus 2.0 4X4 At,2850000,"₹ 2,850,000",0,Diesel,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4419638,Vikas Motorland
Hyundai Tucson Signature 2.0 AT Diesel,Hyundai,Tucson,Signature 2.0 At Diesel,2950000,"₹ 2,950,000",663,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4432532,Vikas Motorland
Maruti Suzuki Brezza Vxi AT,Maruti Suzuki,Brezza,Vxi At,975000,"₹ 975,000",39,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438575,Vikas Motorland
Honda All New City V Petrol,Honda,All,New City V Petrol,1050000,"₹ 1,050,000",12,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4431888,Vikas Motorland
Honda Amaze VX 1.2 Petrol MT,Honda,Amaze,Vx 1.2 Petrol Mt,850000,"₹ 850,000",51,Petrol,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4436821,Vikas Motorland
Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar,Lx Hard Top Diesel At 4Wd,1390000,"₹ 1,390,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458938,Vikas Motorland
Mercedes Benz M Class ML 350 CDI 4MATIC,Mercedes Benz,M,Class Ml 350 Cdi 4Matic,1450000,"₹ 1,450,000",0,Diesel,Unknown,Unknown,2014,12,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4358938,Vikas Motorland
Jeep Meridian Limited (O) 4X4 AT,Jeep,Meridian,Limited (O) 4X4 At,2350000,"₹ 2,350,000",0,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4366261,Vikas Motorland
Honda City 1.5 V AT,Honda,City,1.5 V At,350000,"₹ 350,000",0,Petrol,Unknown,Unknown,2011,15,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382323,Vikas Motorland
Volvo S60 Summum D4,Volvo,S60,Summum D4,1850000,"₹ 1,850,000",0,Diesel,Unknown,Unknown,2017,9,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382367,Vikas Motorland
Kia Carens Prestige Plus (O) 1.5 Diesel AT 7 STR,Kia,Carens,Prestige Plus (O) 1.5 Diesel At 7 Str,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4413739,Vikas Motorland
Mercedes Benz E Class E 350d AMG Line,Mercedes Benz,E,Class E 350D Amg Line,5450000,"₹ 5,450,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4390024,Vikas Motorland
Mercedes Benz AMG GLA35 4MATIC,Mercedes Benz,Amg,Gla35 4Matic,3950000,"₹ 3,950,000",0,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454379,Vikas Motorland
Jeep Compass Limited (O) 1.4 Petrol AT,Jeep,Compass,Limited (O) 1.4 Petrol At,990000,"₹ 990,000",0,Petrol,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458720,Vikas Motorland
Jeep Compass Model S (O) 1.4 Petrol DCT,Jeep,Compass,Model S (O) 1.4 Petrol Dct,1350000,"₹ 1,350,000",0,Petrol,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458686,Vikas Motorland
Skoda Kodiaq Style 2.0 TDI 4x4 AT,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458665,Vikas Motorland
Hyundai Venue SX Plus 1.0 Turbo DCT,Hyundai,Venue,Sx Plus 1.0 Turbo Dct,790000,"₹ 790,000",0,Petrol,Unknown,Unknown,2019,7,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458181,Vikas Motorland
Skoda Kushaq Style 1.5L TSI DSG,Skoda,Kushaq,Style 1.5L Tsi Dsg,1190000,"₹ 1,190,000",0,Petrol,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438247,Vikas Motorland
Hyundai Grand i10 NIOS Asta 1.2 Kappa,Hyundai,Grand,I10 Nios Asta 1.2 Kappa,750000,"₹ 750,000",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454373,Vikas Motorland
Hyundai Alcazar Signature 1.5 Petrol DCT 6STR,Hyundai,Alcazar,Signature 1.5 Petrol Dct 6Str,1889999,"₹ 1,889,999",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454370,Vikas Motorland
Ford Endeavour Titanium Plus 2.0 4x4 AT,Ford,Endeavour,Titanium Plus 2.0 4X4 At,2850000,"₹ 2,850,000",0,Diesel,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4419638,Vikas Motorland
Hyundai Tucson Signature 2.0 AT Diesel,Hyundai,Tucson,Signature 2.0 At Diesel,2950000,"₹ 2,950,000",663,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4432532,Vikas Motorland
Maruti Suzuki Brezza Vxi AT,Maruti Suzuki,Brezza,Vxi At,975000,"₹ 975,000",39,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438575,Vikas Motorland
Honda All New City V Petrol,Honda,All,New City V Petrol,1050000,"₹ 1,050,000",12,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4431888,Vikas Motorland
Honda Amaze VX 1.2 Petrol MT,Honda,Amaze,Vx 1.2 Petrol Mt,850000,"₹ 850,000",51,Petrol,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4436821,Vikas Motorland
Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar,Lx Hard Top Diesel At 4Wd,1390000,"₹ 1,390,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458938,Vikas Motorland
Mercedes Benz M Class ML 350 CDI 4MATIC,Mercedes Benz,M,Class Ml 350 Cdi 4Matic,1450000,"₹ 1,450,000",0,Diesel,Unknown,Unknown,2014,12,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4358938,Vikas Motorland
Jeep Meridian Limited (O) 4X4 AT,Jeep,Meridian,Limited (O) 4X4 At,2350000,"₹ 2,350,000",0,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4366261,Vikas Motorland
Honda City 1.5 V AT,Honda,City,1.5 V At,350000,"₹ 350,000",0,Petrol,Unknown,Unknown,2011,15,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382323,Vikas Motorland
Volvo S60 Summum D4,Volvo,S60,Summum D4,1850000,"₹ 1,850,000",0,Diesel,Unknown,Unknown,2017,9,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4382367,Vikas Motorland
Kia Carens Prestige Plus (O) 1.5 Diesel AT 7 STR,Kia,Carens,Prestige Plus (O) 1.5 Diesel At 7 Str,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4413739,Vikas Motorland
Mercedes Benz E Class E 350d AMG Line,Mercedes Benz,E,Class E 350D Amg Line,5450000,"₹ 5,450,000",0,Diesel,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4390024,Vikas Motorland
Mercedes Benz AMG GLA35 4MATIC,Mercedes Benz,Amg,Gla35 4Matic,3950000,"₹ 3,950,000",0,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454379,Vikas Motorland
Jeep Compass Limited (O) 1.4 Petrol AT,Jeep,Compass,Limited (O) 1.4 Petrol At,990000,"₹ 990,000",0,Petrol,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458720,Vikas Motorland
Jeep Compass Model S (O) 1.4 Petrol DCT,Jeep,Compass,Model S (O) 1.4 Petrol Dct,1350000,"₹ 1,350,000",0,Petrol,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458686,Vikas Motorland
Skoda Kodiaq Style 2.0 TDI 4x4 AT,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1689999,"₹ 1,689,999",0,Diesel,Unknown,Unknown,2018,8,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458665,Vikas Motorland
Hyundai Venue SX Plus 1.0 Turbo DCT,Hyundai,Venue,Sx Plus 1.0 Turbo Dct,790000,"₹ 790,000",0,Petrol,Unknown,Unknown,2019,7,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4458181,Vikas Motorland
Skoda Kushaq Style 1.5L TSI DSG,Skoda,Kushaq,Style 1.5L Tsi Dsg,1190000,"₹ 1,190,000",0,Petrol,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438247,Vikas Motorland
Hyundai Grand i10 NIOS Asta 1.2 Kappa,Hyundai,Grand,I10 Nios Asta 1.2 Kappa,750000,"₹ 750,000",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454373,Vikas Motorland
Hyundai Alcazar Signature 1.5 Petrol DCT 6STR,Hyundai,Alcazar,Signature 1.5 Petrol Dct 6Str,1889999,"₹ 1,889,999",0,Petrol,Unknown,Unknown,2024,2,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4454370,Vikas Motorland
Ford Endeavour Titanium Plus 2.0 4x4 AT,Ford,Endeavour,Titanium Plus 2.0 4X4 At,2850000,"₹ 2,850,000",0,Diesel,Unknown,Unknown,2021,5,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4419638,Vikas Motorland
Hyundai Tucson Signature 2.0 AT Diesel,Hyundai,Tucson,Signature 2.0 At Diesel,2950000,"₹ 2,950,000",663,Diesel,Unknown,Unknown,2022,4,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4432532,Vikas Motorland
Maruti Suzuki Brezza Vxi AT,Maruti Suzuki,Brezza,Vxi At,975000,"₹ 975,000",39,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4438575,Vikas Motorland
Honda All New City V Petrol,Honda,All,New City V Petrol,1050000,"₹ 1,050,000",12,Petrol,Unknown,Unknown,2023,3,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4431888,Vikas Motorland
Honda Amaze VX 1.2 Petrol MT,Honda,Amaze,Vx 1.2 Petrol Mt,850000,"₹ 850,000",51,Petrol,Unknown,Unknown,2025,1,Unknown,Unknown,Active,https://www.vikasmotorland.com/vdp/4436821,Vikas Motorland
Big Boy Toyz Ltd,Big,Boy,Toyz Ltd,2,₹ 2,0,Unknown,Unknown,Unknown,2009,17,Unknown,Unknown,Sold,https://www.linkedin.com/company/bigboytoyz/,Big Boy Toyz
Big Boy Toyz,Big,Boy,Toyz,0,₹ 0,0,Unknown,Unknown,Unknown,2020,6,Unknown,Unknown,Sold,https://apps.apple.com/in/app/big-boy-toyz/id1529588618,Big Boy Toyz
Big Boy Toyz,Big,Boy,Toyz,0,₹ 0,0,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Sold,https://play.google.com/store/apps/details?id=com.bigboytoyzapp&pcampaignid=web_share,Big Boy Toyz
